outcome code,count,year,month,date_formatted,,,,,
HO,1,1999,7,7/1/1999,,1,,,
OT,1,1999,7,7/1/1999,,1,,,
OT,3,1999,3,3/1/1999,,1,,,
LT,1,1999,7,7/1/1999,,1,,,
HO,1,2001,10,10/1/2001,,1,,,
DE,1,2001,10,10/1/2001,,1,,,
OT,1,2001,4,4/1/2001,,1,,,
OT,1,2002,5,5/1/2002,,1,,,
HO,1,2002,12,12/1/2002,,1,,,
OT,2,2002,12,12/1/2002,,1,,,
CA,1,2002,9,9/1/2002,,1,,,
DE,1,2002,2,2/1/2002,,1,,,
HO,1,2002,3,3/1/2002,,1,,,
CA,1,2002,3,3/1/2002,,1,,,
OT,1,2002,9,9/1/2002,,1,,,
CA,1,2002,5,5/1/2002,,1,,,
LT,1,2002,1,1/1/2002,,1,,,
OT,1,2002,1,1/1/2002,,1,,,
OT,2,2002,7,7/1/2002,,1,,,
OT,1,2002,10,10/1/2002,,1,,,
OT,1,2002,11,11/1/2002,,1,,,
CA,1,2002,7,7/1/2002,,1,,,
CA,1,2002,10,10/1/2002,,1,,,
DE,1,2002,3,3/1/2002,,1,,,
OT,4,2002,2,2/1/2002,,1,,,
CA,1,2003,5,5/1/2003,,1,,,
HO,1,2003,6,6/1/2003,,1,,,
DE,2,2003,7,7/1/2003,,1,,,
OT,3,2003,6,6/1/2003,,1,,,
OT,19,2003,9,9/1/2003,,1,,,
HO,8,2003,9,9/1/2003,,1,,,
CA,5,2003,9,9/1/2003,,1,,,
OT,1,2003,3,3/1/2003,,1,,,
DE,1,2003,8,8/1/2003,,1,,,
LT,1,2003,8,8/1/2003,,1,,,
OT,3,2003,5,5/1/2003,,1,,,
OT,1,2003,4,4/1/2003,,1,,,
DE,1,2003,11,11/1/2003,,1,,,
HO,1,2003,4,4/1/2003,,1,,,
HO,1,2003,5,5/1/2003,,1,,,
OT,2,2003,12,12/1/2003,,1,,,
CA,1,2003,6,6/1/2003,,1,,,
HO,3,2003,8,8/1/2003,,1,,,
OT,2,2003,8,8/1/2003,,1,,,
OT,3,2003,11,11/1/2003,,1,,,
LT,1,2003,4,4/1/2003,,1,,,
DE,2,2003,5,5/1/2003,,1,,,
DE,1,2003,12,12/1/2003,,1,,,
LT,1,2003,12,12/1/2003,,1,,,
HO,1,2003,11,11/1/2003,,1,,,
HO,1,2003,10,10/1/2003,,1,,,
LT,1,2003,6,6/1/2003,,1,,,
OT,2,2003,10,10/1/2003,,1,,,
OT,2,2003,7,7/1/2003,,1,,,
DE,2,2003,6,6/1/2003,,1,,,
LT,5,2003,9,9/1/2003,,1,,,
OT,12,2004,6,6/1/2004,,1,,,
DE,1,2004,10,10/1/2004,,1,,,
DS,2,2004,12,12/1/2004,,1,,,
DS,2,2004,5,5/1/2004,,1,,,
HO,3,2004,6,6/1/2004,,1,,,
LT,1,2004,1,1/1/2004,,1,,,
DE,1,2004,1,1/1/2004,,1,,,
CA,1,2004,5,5/1/2004,,1,,,
HO,3,2004,9,9/1/2004,,1,,,
CA,2,2004,3,3/1/2004,,1,,,
OT,4,2004,9,9/1/2004,,1,,,
HO,6,2004,3,3/1/2004,,1,,,
LT,1,2004,8,8/1/2004,,1,,,
DE,8,2004,8,8/1/2004,,1,,,
DE,2,2004,2,2/1/2004,,1,,,
CA,2,2004,9,9/1/2004,,1,,,
OT,8,2004,3,3/1/2004,,1,,,
HO,1,2004,4,4/1/2004,,1,,,
CA,1,2004,6,6/1/2004,,1,,,
OT,15,2004,12,12/1/2004,,1,,,
HO,2,2004,5,5/1/2004,,1,,,
OT,6,2004,5,5/1/2004,,1,,,
HO,4,2004,12,12/1/2004,,1,,,
LT,1,2004,11,11/1/2004,,1,,,
DE,1,2004,11,11/1/2004,,1,,,
OT,9,2004,4,4/1/2004,,1,,,
HO,2,2004,2,2/1/2004,,1,,,
OT,11,2004,8,8/1/2004,,1,,,
DE,4,2004,3,3/1/2004,,1,,,
HO,3,2004,8,8/1/2004,,1,,,
LT,1,2004,3,3/1/2004,,1,,,
OT,10,2004,2,2/1/2004,,1,,,
LT,2,2004,12,12/1/2004,,1,,,
CA,10,2004,7,7/1/2004,,1,,,
CA,1,2004,10,10/1/2004,,1,,,
DE,7,2004,12,12/1/2004,,1,,,
HO,4,2004,11,11/1/2004,,1,,,
DS,4,2004,7,7/1/2004,,1,,,
DE,1,2004,4,4/1/2004,,1,,,
OT,11,2004,11,11/1/2004,,1,,,
LT,1,2004,5,5/1/2004,,1,,,
CA,1,2004,1,1/1/2004,,1,,,
DE,2,2004,5,5/1/2004,,1,,,
DE,1,2004,6,6/1/2004,,1,,,
OT,19,2004,7,7/1/2004,,1,,,
OT,4,2004,10,10/1/2004,,1,,,
LT,3,2004,6,6/1/2004,,1,,,
OT,2,2004,1,1/1/2004,,1,,,
HO,1,2004,10,10/1/2004,,1,,,
HO,5,2004,7,7/1/2004,,1,,,
DS,5,2004,11,11/1/2004,,1,,,
CA,3,2004,11,11/1/2004,,1,,,
CA,6,2004,8,8/1/2004,,1,,,
LT,1,2004,9,9/1/2004,,1,,,
CA,1,2004,2,2/1/2004,,1,,,
DE,2,2004,9,9/1/2004,,1,,,
LT,1,2005,9,9/1/2005,,1,,,
